用户名,时间,内容,转发,评论,点赞,转发源作者,转发源
新浪排球,8-2 16:02,#东京奥运会# 【土耳其女排3-2力挫俄奥委会夺小组第3 美国荣膺B组头名】8月2日，2020年东京奥运会女排小组赛第5轮较量继续进行。欧洲两强俄罗斯奥委会女排和土耳其女排狭路相逢。两队经过五局激战，土耳其女排把握住关键分3-2拿下，力夺小组赛第3场胜利，五局比分为21-25、25-23、25-23、15-25和15-10。俄奥委会队憾负遭遇小组赛第2场失利后，4胜1负积10分的美国女排锁定B组头名晋级8强。意大利、土耳其和俄奥委会均为3胜2负，10分的意大利排名第2；土俄两队同积9分，土耳其以1个净胜局的微弱优势力压俄奥委会排名第3，俄奥委会队屈居第4。,5,153,463,,
天秀bot,19分钟前,//@整点电影:美丽又自信！//@粉红杨姐姐: 女性的力量！//@不算安静的镜子:女性本就万种风采//@暴躁wanzi:而且每个妹妹都好piu亮啊//@想吃炸鸡烤肉牛排火锅冰淇淋: 她们都在闪闪发光！！！,370,3,302,@当时我就震惊了:,"东京奥运会女子群像

这些闪闪发光的女孩子们用行动告诉我们：女性本就千万种风采！

#奥运段子大赛# #女性本就千万种风采# 当时我就震惊了的微博视频"
我爱女排,14小时前,"#东京奥运会# #中国女排#
东京出发，北京到家，我们都在 我爱女排的微博视频",113,192,1890,,
奥林匹克运动会,8-4 05:30,"东京#奥运会# 8月4日焦点赛事👇

今日起床冠军🏅️马拉松游泳🏊♀️

更多赛程资讯，请前往应用商城搜索并下载【奥林匹克】官方APP。

#东京奥运会# ｜#共同强大#",20,48,312,,
萨村小推,8-3 20:29,佩德里👴🏻#奥运会##东京奥运会#,186,123,1269,,
Houson猴姆,2小时前,恭喜#中国队夺女子乒乓团体赛金牌#！这也是奥运会上#国乒女团四连冠#！看完这场比赛四字点评！！！,27,66,286,@Houson猴姆:,#中国队夺女子乒乓团体赛金牌# #国乒女团VS日本女团#没问题！恭喜中国女乒3:0狂砍日本女乒拿下2020东京奥运会乒乓球女团决赛冠军！！为中国代表团收获本届奥运会第34金！这也是奥运会#国乒女团四连冠#！[金牌]
奥林匹克运动会,11小时前,"【🤙六刷纪录！美国铅球名将科罗塞尔破奥运纪录夺金】

在今天上午进行的东京奥运会男子铅球决赛中，🇺🇸美国名将科罗塞尔状态极佳，六次投掷尝试全部打破了自己在里约奥运会创下的22.52米奥运会纪录，最终他以23.30米的成绩摘得金牌，完成了全新的自我突破！美国选手科瓦奇和新西兰选手沃尔什分获亚军和季军。

男子铅球现世界纪录同样是由科罗塞尔所保持，成绩为23.37米。

#奥运会# ｜#共同强大# ｜#东京奥运会#",10,69,366,,
奥林匹克运动会,8-2 21:20,"眼含泪水
是因为心怀梦想✨

#奥运会# | #共同强大# | #东京奥运会#",78,49,1264,,
奥林匹克运动会,8-4 13:07,"【翩若惊鸿 婉若游龙】

#奥运会# | #共同强大# | #东京奥运会#",17,13,364,,
新浪体育,8-4 16:45,#14岁全红婵出战东京奥运会#全红婵， 2007年出生，她是这次奥运会中国代表团年龄最小的运动员，因为高超的跳水技术被网友熟知。湛江市体育运动学校是全红婵梦开始的地方，2014年进入体校就读，在训练条件简陋的情况下，她从体校到省队，再到奥运会，一路殊为不易，点赞！#围观奥运会# 今日最新闻官方微博的微博视频,34,45,473,,
萨村小推,8-3 21:35,全场比赛结束，西班牙国奥经历加时1-0日本国奥晋级奥运会男足决赛，将占巴西。#奥运会##东京奥运会#,14,65,597,,
奥林匹克运动会,9小时前,"【美国淘汰澳大利亚挺进男篮决赛】
🏀#东京奥运会#男篮半决赛第一场刚刚结束，🇦🇺澳大利亚以78比97不敌美国🇺🇸。美国队率先拿到了一张决赛入场券，他们的对手将是斯洛文尼亚和法国队的胜者。

🌟本场比赛，杜兰特发挥出色，贡献23分9篮板。布克贡献20分，霍勒迪贡献11分8助攻，米德尔顿贡献11分。澳大利亚方面，核心米尔斯贡献15分8助攻。

#奥运会#｜#共同强大#",34,69,697,,
奥林匹克运动会,8-3 15:30,"2000年悉尼奥运会，@刘璇 夺得平衡木冠军🥇
时隔12年之后，@邓琳琳 夺得伦敦奥运会平衡木冠军🥇

让我们一起欣赏这两位选手的精彩演出！

今天是#东京奥运会#体操项目的最后一个比赛日
将进行男子双杠(16:00)、女子平衡木(16:50)和男子单杠(17:39)决赛🤸♀️
请与我们一起继续关注奥运健儿的精彩表现吧！👀

#奥运会# | #共同强大# 奥林匹克运动会的微博视频",406,265,9428,,
Eternity-_,8-3 20:42,【😂】🔴⚫️ 真·罗森内里@肖若腾vegeta 🇨🇳，说的都是我们的心声啊。#weareacmilan# Eternity-_的微博视频 #东京奥运会#,449,108,420,,
董路,8-1 21:56,苏炳添是奇迹，小将是平凡#东京奥运会# 董路的微博视频,52,2389,1132,,
奥林匹克运动会,8-2 21:20,"眼含泪水
是因为心怀梦想✨

#奥运会# | #共同强大# | #东京奥运会#",78,49,1264,,
阿根廷足球,8-3 20:16,"#东京奥运会#

祝贺阿根廷男排在时隔21后再次晋级奥运会男排四强 !

3-2击败意大利，太不容易了🎉🎉🎉",8,15,96,,
奥林匹克运动会,8-2 22:15,"【羽毛球比赛收官，中国队收获2金4银】

🏸️#东京奥运会#羽毛球比赛在经过激烈的10个比赛日后，完美落下帷幕，🇨🇳中国羽毛球队收获满满，打进了所有5个单项的决赛，斩获2枚金牌4枚银牌：

🏅️混双：王懿律@王懿律enzo /黄东萍@H黄东萍
🥈混双：郑思维@郑思维--- /黄雅琼@黄雅琼---
🥈男双：李俊慧@TAURUS-李俊慧 /刘雨辰@刘雨辰1961
🏅️女单：陈雨菲@陈雨菲_CYF
🥈女双：陈清晨@陈清晨BAOBAO /贾一凡@贾一凡_F
🥈男单：谌龙@谌龙

👏再次祝贺他们！

#奥运会# | #共同强大#",84,59,906,,
奥林匹克运动会,8-2 16:26,"【🚴♀️场地自行车女子争先赛，中国组合创世界记录晋级决赛】

在刚刚结束的#东京奥运会# 场地自行车女子争先预赛赛中，🇨🇳中国选手钟天使@钟天使-cycling 和鲍珊菊以31.804秒的成绩挺进金牌赛。同时也创造了全新的世界记录！

⏰ 北京时间今晚5点，中国队将与德国队争夺本届奥运会首枚场地自行车金牌。

#奥运会# | #共同强大#",111,219,2197,,
祝福体操小花们_,8-3 21:10,"#东京奥运会# 平衡木决赛赛后采访：
管晨辰：自己的压力不算很大，但到了决赛毕竟还是比资格赛更紧张一些。前面一直在后场活动，所以没有太关注之前选手的表现。上法连接成了之后，自己就比较有自信了，后面就慢慢调整好自己。拿到金牌要特别感谢教练们。（问：感觉你现在比以前成熟了很多）可不嘛~ 我都十七啦！（可是你们非要我做个搞怪的表情，我也只能勉为其难一下了）
唐茜靖：赛前没有觉得压力很大，最重要的是做好自己。我们是平衡木双保险，但我发挥好了，也是给晨辰减压。踺子后直其实也有点小失误，但想着过去就过去了，把一个个动作做好。这次比赛进步最大的，是资格赛也能比好了，但跳马是弱项，还要加强调动自己的能力，另外自己的强项也要更强一些。（问：刚才看你也展示了一下冬奥的徽章，为什么呢？）（超大声）欢迎大家来到北京冬奥会！",116,277,2741,,
奥林匹克运动会,8-2 20:50,"【回味】
💓在24小时前的此刻，你的心跳有多快？

#东京奥运会# | #奥运会# | #共同强大#",11,22,250,,
萨村小推,8-3 15:07,佩德里ins story更新🆕奥运会半决赛对阵日本，没有退路，输了也要踢3-4名决赛，赢了就是冲金牌，就是干！！！#奥运会##东京奥运会#,14,32,300,,
奥林匹克运动会,昨天 23:10,"【东京奥运会每日要闻回顾（8月4日）】

年轻的中国女篮负塞尔维亚止步八强；雪雁”组合花样游泳双人自由自选赛摘银；谷红晋级女子拳击沉量级决赛；东道主包揽滑板女子碗池冠亚军；中国德国会师乒乓球男团决赛…

来回顾一下8月4日都有哪些奥运新闻吧。

点击【网页链接】前往@东京2020年奥运会 官方网站。或前往应用商城搜索并下载【奥林匹克】官方APP，了解最新赛事动态。

#奥运会# ｜#共同强大# ｜#东京奥运会# 东京奥运会每日要闻回顾（8月4日）",11,34,160,,
爆棚仓鼠,8-3 21:39,"【】东京奥运会男足半决赛，皇马的阿森西奥在加时赛中打入全场唯一进球，帮助西班牙1-0击败日本，挺进决赛，他们的对手是巴西队！
西班牙VS巴西，你看好哪队夺冠？
#东京奥运会# #围观奥运会#",10,76,288,,
韦德吧官方微博,8-2 13:55,"昨天东京奥运会男篮四分之一对阵抽签已经结束，美国男篮将在8进4对决中对阵西班牙男篮，比赛时间为北京时间星期二12:40。

值得一提的是，杜兰特今天在社交媒体疯狂点赞土耳其女排球员——Zehra Gunes。小姐姐，1999年出生，身高1米97。

#围观奥运会# #东京奥运会##杜兰特点赞土耳其美女副攻多张靓照#",28,49,324,,
奥林匹克运动会,4小时前,"🏓️乒乓球女团金牌赛——中国 vs. 日本
🏅️谁能站上奥运之巅？

⏰18点30分，精彩正在上演！

#奥运会#｜#东京奥运会#｜#共同强大#",8,42,257,,
新浪体育,15小时前,#东京奥运会##奥运会# 【#奥运会今日看点# 】今天上午会有女子4x100米接力和男子4x100米接力，中午可以关注女子200米单人划艇（林文君）和男子1000米双人划艇(王丛康@我是kang康啊 和@卜廷凯 ），下午会有跳水女子十米台决赛，中国选手@全红婵 和陈芋汐(@张家齐la )出战；15:45@钟天使-cycling 将出战场地自行车凯林赛决赛；晚上会有乒乓球女团决赛中国vs日本。,15,22,173,,
祝福体操小花们_,8-2 16:35,#奥运会# #东京奥运会# 吊环决赛 中国刘洋和尤浩冲击难度，发挥出色，下法钉住，力压希腊名将Eleftherios Petrounias包揽冠亚军（6.5+9.0/6.6+8.7/6.3+8.9）,54,65,640,,
VolleyballWorld排球世界,8-4 10:31,#东京奥运会# 室内女排1/4决赛，韩国女排🇰🇷 15-13 土耳其女排🇹🇷拿下决胜局率先晋级，土耳其女排无缘4强！#Volleyball#,124,133,877,,
萨村小推,8-3 22:18,佩德里在329天内参加了73场比赛，平均4.5天一场比赛，还基本都是首发。#奥运会##东京奥运会#,37,78,864,,
奥林匹克运动会,8-1 19:59,"【🏆体操冠军梦——女子跳马高低杠单项结果出炉】

#东京奥运会# 体操单项赛首日收工，在刚刚结束的高低杠比赛中，比利时名将尼娜·德尔瓦埃勒以总分15.200分的成绩夺得该项目的冠军。

小花芦玉菲 @LYF芦玉菲 一扫此前比赛的阴霾，稳定发挥，排在第4名。另外，老将范忆琳 @范忆琳 是本次中国女子体操队唯一一位之前参加过奥运会的老将，在此前的测试赛和资格赛中获得了优异的成绩，但遗憾落地失误排在第7名。

比赛最终结果如下：

🥇冠军：🇧🇪 尼娜·德尔瓦埃勒
🥈亚军：ROC 伊利扬科娃
🥉季军：🇺🇸 苏妮莎·李

另外，恭喜此前在女子跳马项目中安德雷德为巴西获得首块金牌，美国名将斯金内尔获得银牌，韩国选手吕瑞静摘铜。

🕓明日下午4点，中国选手刘洋 @刘洋Lyoung 和尤浩 @尤浩why 将出战男子吊环的比赛，让我们共同期待！

#奥运会#｜#共同强大#",14,56,573,,
奥林匹克运动会,8-3 23:00,"【东京奥运会每日要闻回顾（8月3日）】

中国小花包揽女子平衡木冠亚军；邹敬园男子双杠绝对优势夺金;谢思埸王宗源包揽男子三米板金银牌；刘浩/郑鹏飞获男子双人划艇亚军；汤普森卫冕女子200米；男子400米栏破世界纪录；巴西西班牙会师男足决赛，东道主日本队将与墨西哥争夺铜牌…

来回顾一下8月3日都有哪些奥运新闻吧。

点击【网页链接】前往@东京2020年奥运会 官方网站。或前往应用商城搜索并下载【奥林匹克】官方APP，了解最新赛事动态。

#奥运会# ｜#共同强大# ｜#东京奥运会# 东京奥运会每日要闻回顾（8月3日）",7,46,440,,
骆明微博,8-2 16:48,#东京奥运会# 巴掌戏法达成!,7,18,63,,
足球上海滩姬宇阳,8-2 17:41,"下班前疯狂刷一波金牌。1分钟2金，10分钟3金，半小时4块金牌。

已经28，很快要破30了吧。#东京奥运会#",10,50,173,,
VolleyballWorld排球世界,8-3 13:44,#东京奥运会# 室内男排1/4决赛，日本男排🇯🇵 0-3 不敌巴西男排🇧🇷无缘晋级，巴西男排🇧🇷晋级4强！三局比分为20-25/22-25/20-25 #Volleyball#,69,51,514,,
奥林匹克运动会,8-2 11:19,"【跨过终点线！卡马乔·奎因夺得女子100米栏冠军】

🏃♀️🚧 在刚刚结束的东京奥运会女子100米跨栏决赛，🇵🇷波多黎各名将贾丝明·卡马乔·奎因以12.37秒夺冠，🇺🇸美国选手肯德拉·哈里森以12.52秒获得亚军，🇯🇲牙买加选手梅根·塔佩尔以12.55秒位居季军。

☝️值得一提的是，奎因在半决赛所跑出的12.26秒，一举打破了尘封九年的奥运会纪录！再一次恭喜奎因 👏

#共同强大# ｜#东京奥运会# ｜#奥运会#",6,28,290,,
Houson猴姆,2小时前,恭喜#中国队夺女子乒乓团体赛金牌#！这也是奥运会上#国乒女团四连冠#！看完这场比赛四字点评！！！,27,66,286,@Houson猴姆:,#中国队夺女子乒乓团体赛金牌# #国乒女团VS日本女团#没问题！恭喜中国女乒3:0狂砍日本女乒拿下2020东京奥运会乒乓球女团决赛冠军！！为中国代表团收获本届奥运会第34金！这也是奥运会#国乒女团四连冠#！[金牌]
陈君乐,8-4 02:51,这图值得收藏一下！#东京奥运会# 参赛国（地区）旗帜一图打尽，你能在里面认出多少面？,18,29,87,,
篮球大历史,8-3 21:58,"“犹记当年半空驰，不觉青春已四十。”

#全场为斯科拉鼓掌# #围观奥运会# #东京奥运会#",312,104,1468,,
WTA国际女子网球协会,8-2 08:41,"开始👈👉结束

男单银牌+混双金银牌，俄奥队五人站上领奖台，本次#东京奥运会#之行可谓收获满满",6,28,170,,
Marchisio,8-2 22:07,意大利100米夺冠真相。 #东京奥运会#,28,14,183,,
篮球大图,8-3 19:00,羽毛球方面的GOAT，唯一两夺奥运金牌的羽毛球男单选手，唯一男单双圈大满贯得主！林丹，yyds！#围观奥运会# #东京奥运会# 篮球大图的微博视频,33,36,320,,
萨村小推,8-3 20:53,常规时间比赛结束，西班牙国奥0-0日本国奥，比赛进入加时赛。#奥运会##东京奥运会#,7,37,208,,
VolleyballWorld排球世界,8-3 23:21,"#东京奥运会# 室内男排1/4决赛，俄罗斯奥委会男排、巴西男排、阿根廷男排、法国男排分别战胜各自对手晋级四强，赛果如下：
加拿大男排🇨🇦 0-3 不敌俄罗斯奥委会男排（ROC）无缘晋级，俄罗斯奥委会男排（ROC）率先晋级4强！三局比分为21-25/28-30/22-25
日本男排🇯🇵 0-3 不敌巴西男排🇧🇷无缘晋级，巴西男排🇧🇷晋级4强！三局比分为20-25/22-25/20-25
意大利男排🇮🇹 2-3不敌阿根廷男排🇦🇷无缘晋级，阿根廷男排🇦🇷晋级4强！五局比分为25-21/23-25/22-25/25-14/12-15
波兰男排🇵🇱 2-3 不敌法国男排🇫🇷无缘晋级，法国男排晋级4强！五局比分为25-21/22-25/25-21/21-25/9-15

更多精彩资讯&视频请关注#VolleyballWorld# 官网！",17,32,150,,
奥林匹克运动会,8-2 11:43,"🤼【中国男女子选手将争夺摔跤项目铜牌战】

#东京奥运会#摔跤比赛继续进行，在女子自由式摔跤76公斤级的复活赛里，中国选手周倩@honey0311honey周倩 经过苦战以2比1险胜白俄罗斯对手。在早前结束的男子古典式60公斤级复活赛中，另一位中国选手瓦里汗-赛里克战胜了阿尔及利亚对手，获得该项目铜牌赛争夺机会。

⏰北京时间今天18:30，瓦里汗-赛里克将出战男子古典式60公斤级铜牌战。
⏰北京时间今天19:55，周倩将出战女子自由式76公斤级铜牌战。

#奥运会# | #共同强大#",17,23,349,,
VolleyballWorld排球世界,8-3 13:38,#东京奥运会# 室内男排1/4决赛，日本男排🇯🇵 20-25 巴西男排🇧🇷连丢三局，大比分0-3无缘晋级，巴西男排🇧🇷晋级4强！#Volleyball#,32,33,297,,
奥林匹克运动会,8-2 20:50,"【回味】
💓在24小时前的此刻，你的心跳有多快？

#东京奥运会# | #奥运会# | #共同强大#",11,22,250,,
VolleyballWorld排球世界,8-3 22:56,#东京奥运会# 室内男排1/4决赛，波兰男排🇵🇱 9-15 法国男排🇫🇷丢掉决胜局，大比分2-3输掉比赛无缘晋级，法国男排晋级4强！#Volleyball#,40,76,364,,
9527的篮球梦,2小时前,THE BLOCK 东京奥运特供版 #东京奥运会# 9527的篮球梦的微博视频,7,22,77,,
我爱女排,14小时前,"#东京奥运会# #中国女排#
东京出发，北京到家，我们都在 我爱女排的微博视频",113,192,1890,,
奥林匹克运动会,8-4 11:00,"🛹 东京#奥运会# 滑板公园赛预赛结束，四组选手献上精彩比赛！

🇯🇵日本选手冈本碧优最后一轮以58.51的高分反超🇬🇧英国选手斯凯·布朗，跃居预赛排名第一。🇨🇳中国选手@张鑫skateboarding 稳定发挥完成了全部动作，以28.16分刷新了自己的前两轮成绩，最终总分位列第15位，未能晋级决赛。

这场比赛中，滑板新生力量表现亮眼，预赛前三名选手年龄均不超过16岁。目前选手们将紧锣密鼓地参加中午进行的决赛，让我们持续关注这场“板上较量”！

#东京奥运会# | #共同强大#",13,51,303,,
萨村小推,8-3 19:34,在奥运会半决赛西班牙国奥的佩德里，本赛季已经踢了70➕场比赛。 #奥运会##东京奥运会#,16,60,439,,
奥林匹克运动会,8-2 19:31,"她，就站在那里。
以信念，激励着一代又一代人。

#东京奥运会# | #奥运会# | #共同强大#",412,160,4010,,
VolleyballWorld排球世界,8-3 23:04,#东京奥运会# 室内男排1/4决赛，波兰男排🇵🇱 2-3 不敌法国男排🇫🇷无缘晋级，法国男排晋级4强！五局比分为25-21/22-25/25-21/21-25/9-15 #Volleyball#,41,63,226,,
张曼联,8-2 18:04,"卢布列夫#东京奥运会#混双夺冠的神奇之旅

图1-2：与帕芙柳琴科娃庆祝兑现金牌点🏅️
图3：带领取得奖牌的俄罗斯成员大合影📷
图4：路过采访区向卡拉采夫维斯尼娜送上香吻安慰😘
图5：与男单金牌得主兹维列夫有爱互动
图6：奥运会经典表情包get（图片by@wowkimyh ）",25,33,235,,
北京晚报,2小时前,【#国乒女团3比0横扫日本#！夺得第34金】祝贺#国乒女团四连冠#！祝贺国乒！#国乒女团VS日本女团#,39,33,866,@人民日报:,【#国乒女团3比0横扫日本#！夺得第34金】东京奥运会乒乓球女团决赛，中国乒乓球女团战胜日本，夺得金牌，日本队获得银牌，中国香港队摘铜。祝贺#国乒女团四连冠#！祝贺国乒！#国乒女团VS日本女团#
萨村小推,昨天 23:33,佩德里：“如果有人在赛季开始时告诉我今年要打73场比赛，我会为巴萨首发，我会参加奥运会决赛，那么我会告诉他他疯了。”#东京奥运会##奥运会#,26,39,612,,
VolleyballWorld排球世界,8-4 16:50,#东京奥运会# 室内女排1/4决赛，塞尔维亚女排🇷🇸 25-14 意大利女排🇮🇹再胜一局，大比分2-0领先！#Volleyball#,16,124,382,,
萨村小推,8-3 18:46,38岁阿尔维斯带领巴西国奥晋级奥运会决赛。#奥运会##东京奥运会#,9,45,635,,
VolleyballWorld排球世界,8-1 21:35,#东京奥运会# 室内男排第五比赛日，日本男排🇯🇵 3-2 战胜伊朗男排🇮🇷，五局比分为25-21/20-25/29-31/25-22/15-13 #Volleyball#,266,115,1174,,
VolleyballWorld排球世界,8-1 21:35,#东京奥运会# 室内男排第五比赛日，日本男排🇯🇵 3-2 战胜伊朗男排🇮🇷，五局比分为25-21/20-25/29-31/25-22/15-13 #Volleyball#,266,115,1174,,
VolleyballWorld排球世界,8-3 13:06,#东京奥运会# 室内男排1/4决赛，日本男排🇯🇵 22-25 巴西男排🇧🇷再丢一局，大比分0-2落后！#Volleyball#,14,29,109,,
